"Dynamic Send: Asset Title","Archived Date","Product","Sub-Region","Original Industry","Product Interest","Producer","Region","Country","Language","Contact Type","Company Size","Industry"
"How to gain visibility and insights into your Salesforce data with Event Monitor","5/2/2026","Platform","United States","","Platform","Sara Miller","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"Security Center Demo","4/15/2026","Platform","United States","","Platform","Sara Miller","AMER","United States","English","Customer","MM; GB; EBU",""
"Event Monitoring Demo","4/28/2026","Platform","United States","","Platform","Sara Miller","AMER","United States","English","Customer","GRB; MM; GB; EBU",""
"On-Demand Webinar - Master the B2B Digital Buying Experience","4/24/2026","Commerce B2B","United States","","Agentforce Commerce; Commerce B2B","Ryan See","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"On-Demand Webinar - Master the B2B Digital Buying Experience","4/24/2026","Commerce B2B","United States","","","Ryan See","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Retail & CG"
"On-Demand Webinar - Master the B2B Digital Buying Experience (MAE)","4/24/2026","Commerce B2B","United States","","","Ryan See","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"On-Demand Webinar - Preparing for the Holidays Starts Now","5/9/2026","Agentforce Commerce","United States","","Agentforce Commerce","Ryan See","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"On-Demand Webinar - Preparing for the Holidays Starts Now (Retail)","5/9/2026","Agentforce Commerce","United States","","","Ryan See","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Retail & CG"
"On-Demand Webinar - Preparing for the Holidays Starts Now (CG)","5/9/2026","Agentforce Commerce","United States","","","Ryan See","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Retail & CG"
"Unlock Partner Revenue with Data and AI","5/14/2026","Sales Cloud PRM","United States","","Agentforce Sales; Sales Cloud PRM","Natalie Melnick","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"Inside State of Sales: Top Benefits ? and Biggest Adoption Hurdles ? of AI","4/13/2026","Agentforce Sales","United States","","Agentforce Revenue Management; Agentforce Sales; Einstein AI; Sales Cloud PRM; Salesforce Maps","Natalie Melnick","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"Improve Forecast Accuracy and Close Pipeline with AI-Powered Analytics","6/4/2026","Agentforce Sales","United States","","Agentforce Sales; CRM Analytics; Einstein AI","Natalie Melnick","AMER","United States","English","Customer; Prospect","SB; GRB; MM; GB; EBU",""
"Trends in Partner Selling","5/15/2026","Sales Cloud PRM","United States","","Agentforce Sales; Einstein AI; Sales Cloud PRM","Natalie Melnick","AMER","United States","English","Customer; Prospect","GRB; MM; GB; EBU",""
"ALM Demo","5/22/2026","Platform","United States","","Platform","Ryan See","AMER","United States","English","Customer","MM; GB; EBU",""
"Sales Compensation Manager's Toolkit","5/1/2026","SPIFF","United States","","Agentforce Revenue Management; Agentforce Sales; Salesforce Maps; SPIFF","Natalie Melnick","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"The Seller Experience Handbook","5/1/2026","SPIFF","United States","","Agentforce Sales; Salesforce Maps; SPIFF","Natalie Melnick","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"Sales Data Demo Playlist","5/1/2026","Agentforce Sales","United States","","Agentforce Sales; CRM Analytics; Data 360; Einstein AI","Natalie Melnick","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"Gartner Magic Quadrant 2024","5/27/2026","Agentforce Commerce","United States","","Agentforce Commerce; Commerce B2B","Ryan See","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"On-Demand ASA SFS Operations Webinar - Prospect","6/9/2026","Agentforce Field Service","United States","","Agentforce Field Service","Natalie Leung","AMER","United States","English","Prospect","MM; GB",""
"Agentforce Sales Coach Demo","5/15/2026","Agentforce Sales","United States","","Agentforce Sales; Data 360; Einstein AI; Einstein Voice; Salesforce Maps","Natalie Melnick","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"Admin Tips for Managing Trusted, Scalable Data for Agentforce","4/14/2026","Trusted Services","United States","","Trusted Services","Karin Cayia","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"Shield Platform Encryption Datasheet","4/14/2026","Trusted Services","United States","","Trusted Services","Karin Cayia","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"Agentforce for Sales Customer Lookbook - VTT","4/16/2026","Agentforce Sales","United States","","Agentforce; Agentforce Sales; Data 360; Einstein AI","Natalie Melnick","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"3/18 Hight Tech in Comms On-Demand Webinar - Customer","6/2/2026","Agentforce Service","United States","","","Ray Liang","AMER","United States","English","Customer","SBE; SB; GRB; MM; GB; EBU","High Tech"
"3/19 Staffing & Recruiting On-Demand Webinar - Customer","6/2/2026","Agentforce","United States","","","Ray Liang","AMER","United States","English","Customer","GRB; MM; GB; EBU","Professional Services"
"3/25 Agentforce in Telecommunication On-Demand Webinar - Prospect","6/2/2026","Agentforce","United States","","","Ray Liang","AMER","United States","English","Prospect","SBE; SB; GRB; MM; GB; EBU","Communications & Media"
"3/19 Staffing & Recruiting On-Demand Webinar - Prospect","6/2/2026","Agentforce","United States","","","Ray Liang","AMER","United States","English","Prospect","GRB; MM; GB; EBU","Professional Services"
"3/25 Agentforce in Telecommunication On-Demand Webinar - Customer","6/2/2026","Agentforce","United States","","","Ray Liang","AMER","United States","English","Customer","SBE; SB; GRB; MM; GB; EBU","Communications & Media"
"On-Demand Webinar | 5 Sales Programs To Ignite Seller Productivity","5/24/2026","Agentforce Sales","United States","","","Sara Miller","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","High Tech"
"How Salesforce is Transforming its Sales Organization with Agentforce","4/25/2026","Agentforce Sales","United States","","Agentforce; Agentforce Sales; Sales Performance Management","Natalie Melnick","AMER","United States","English","Customer; Prospect","GRB; MM; GB; EBU",""
"Energy & Utilities Agentforce Demo","4/28/2026","Agentforce","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"Data Leaders 25","5/12/2026","Trusted Services","United States","","Trusted Services","Karin Cayia","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/22:[VOD]:TS-Roadmap-CA","5/9/2026","Trusted Services","Canada","","Trusted Services","Ryan See","AMER","Canada","English","Customer; Prospect","GRB; GB; EBU",""
"4/22:[VOD]:TS-Roadmap-TechIND-US","5/9/2026","Trusted Services","United States","","","Ryan See","AMER","United States","English","Customer; Prospect","GRB; GB; EBU","High Tech"
"11/13/24 Field Service On Demand Webinar","5/9/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","MM","Manufacturing, Automotive & Energy"
"CA On-Demand Web - Master the B2B Digital Buying Experience (HLS)","5/28/2026","Commerce B2B","Canada","","","Melissa Dryer","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Healthcare & Life Sciences"
"[4/30/2025] Marketing Webinar | Agentforce & the AI Agent Revolution","4/30/2026","Marketing Cloud","United States","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Melissa Dryer","AMER","United States","English","Customer; Prospect","SB; GRB; MM; GB; EBU",""
"[US M-Pr] [4/30/2025] Marketing Webinar | Agentforce & the AI Agent Revolution","4/30/2026","Marketing Cloud","United States","","Multi-Product","Melissa Dryer","AMER","United States","English","Customer; Prospect","SB; GRB; MM; GB; EBU",""
"Agentforce for Field Service Demo - Customer","5/15/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Customer","SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"Agentforce for Field Service Demo - Prospect","5/15/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Prospect","SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"CA_Data Leaders 25","5/16/2026","Trusted Services","Canada","","Trusted Services","Karin Cayia","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"CA_How to Minimize Data Risks at Scale Guide","5/16/2026","Trusted Services","Canada","","Trusted Services","Karin Cayia","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"CA-Admin Tips for Managing Trusted, Scalable Data for Agentforce","5/16/2026","Trusted Services","Canada","","Trusted Services","Karin Cayia","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"[5/13/25] MC Webinar | Critical Keys to Email Deliverability & Engagement","5/22/2026","Marketing Cloud","United States","","Marketing Cloud","Melissa Dryer","AMER","United States","English","Customer; Prospect","SB; GRB; MM; GB; EBU",""
"[5/13/25] CC Webinar | B2C Commerce: Your Roadmap to Growth and Innovation","5/22/2026","Agentforce Commerce","United States","","Agentforce Commerce","Melissa Dryer","AMER","United States","English","Customer; Prospect","SB; GRB; MM; GB; EBU",""
"The Real Cost of Data Downtime and How It Can Stall Innovation","5/26/2026","Trusted Services","United States","","Trusted Services","Karin Cayia","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"3 Rs of Modern Data Resilience","5/23/2026","Trusted Services","United States","","Trusted Services","Karin Cayia","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"CA - Backup & Recover Datasheet","5/23/2026","Trusted Services","Canada","","Trusted Services","Karin Cayia","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"CA - Trusted Services Solutions Brief","5/30/2026","Trusted Services","Canada","","Trusted Services","Karin Cayia","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"CA - Archive Datasheet","5/30/2026","Trusted Services","Canada","","Trusted Services","Karin Cayia","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"CA - Data Mask & Seed Datasheet","5/30/2026","Trusted Services","Canada","","Trusted Services","Karin Cayia","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"CA - Shield Datasheet","6/6/2026","Trusted Services","Canada","","Trusted Services","Karin Cayia","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"CA - Security Center Datasheet","6/6/2026","Trusted Services","Canada","","Trusted Services","Karin Cayia","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"CA - Shield Field Audit Trail","6/6/2026","Trusted Services","Canada","","Trusted Services","Karin Cayia","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"The Real Cost of Data Downtime and How It Can Stall Innovation","6/9/2026","Trusted Services","Canada","","Trusted Services","Karin Cayia","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"[6/26/25] MC Webinar | The Summer '25 Marketing Cloud Release Panel","5/13/2026","Marketing Cloud","United States","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Melissa Dryer","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"Sandbox Datasheet","5/22/2026","Platform","United States","","Platform","Ryan See","AMER","United States","English","Customer","MM; GB; EBU",""
"DevOps Center Demo","5/27/2026","Platform","United States","","Platform","Ryan See","AMER","United States","English","Customer","MM; EBU",""
"Platform Encryption Demo","5/22/2026","Platform","United States","","Platform","Ryan See","AMER","United States","English","Customer","SBE; SB; GRB; MM; GB; EBU",""
"7/8/25 Holiday Predictions Webinar","5/11/2026","Marketing Cloud","Canada","","","Hassan Khider","AMER","Canada","English","Customer; Prospect","SB; GRB; MM; GB; EBU","Retail & CG"
"AI, CRM, & Automation: The Manufacturer's Toolkit for Powerful Channel Strategy","5/8/2026","Sales Cloud PRM","United States","","Agentforce Manufacturing; Sales Cloud PRM","Ray Liang","AMER","United States","English","Customer; Prospect","SB; GRB; MM; GB; EBU",""
"FY26 Gartner MG Field Service (Prospect)","6/9/2026","Agentforce Field Service","United States","","Agentforce Field Service","Natalie Leung","AMER","United States","English","Prospect","GRB; MM; GB; EBU",""
"FY26 Gartner MG Field Service (Customer)","6/9/2026","Agentforce Field Service","United States","","Agentforce Field Service","Natalie Leung","AMER","United States","English","Customer","GRB; MM; GB; EBU",""
"FY26 IDC Waters Case Study","5/28/2026","Agentforce Field Service","United States","","Agentforce Field Service","Natalie Leung","AMER","United States","English","Customer; Prospect","GRB; MM; GB; EBU",""
"FY26 Field Service Demo (Customer)","6/9/2026","Agentforce Field Service","United States","","Agentforce Field Service","Natalie Leung","AMER","United States","English","Customer","GRB; MM; GB; EBU",""
"FY26 Field Service Demo (Prospect)","6/9/2026","Agentforce Field Service","United States","","Agentforce Field Service","Natalie Leung","AMER","United States","English","Prospect","GRB; MM; GB; EBU",""
"FY26 Agentforce for Field Service Demo (Prospect)","6/9/2026","Agentforce Field Service","United States","","Agentforce Field Service","Natalie Leung","AMER","United States","English","Prospect","GRB; MM; GB; EBU",""
"FY26 Agentforce for Field Service Demo (Customer)","6/9/2026","Agentforce Field Service","United States","","Agentforce Field Service","Natalie Leung","AMER","United States","English","Customer","GRB; MM; GB; EBU",""
"On-Demand: InsideSF:Canada Agentforce Webinar","6/9/2026","Agentforce","Canada","","Agentforce","Hassan Khider","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/22:[VOD]:TS-Roadmap-TechIND-CA - New Targeting","5/9/2026","Trusted Services","Canada","","","Ryan See","AMER","Canada","English","Customer; Prospect","GRB; GB; EBU","High Tech"
"4/22:[VOD]:TS-Roadmap-US - New Targeting","5/9/2026","Trusted Services","United States","","Trusted Services","Ryan See","AMER","United States","English","Customer; Prospect","GRB; GB; EBU",""
"On-Demand: AI In Action DSE","6/9/2026","Agentforce","Canada","","Agentforce; Agentforce Sales; Agentforce Service; Data 360; Einstein AI","Hassan Khider","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"Agentforce + Sales Programs Demo CAN DSE","6/9/2026","Agentforce Sales","Canada","","Agentforce Sales","Hassan Khider","AMER","Canada","English","Customer; Prospect","SB; GRB; MM; GB; EBU",""
"4/22 Platform Webinar: Agentforce 360 Platform Roadmap: Build and Secure Your En","4/23/2026","Platform","United States","","Platform","Ryan See","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/22 Platform Webinar: Agentforce 360 Platform Roadmap: Build and Secure Your En","4/23/2026","Platform","Canada","","Platform","Ryan See","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"Contact Center Demo Channel Asset - GDGC Service Cloud","4/20/2026","Agentforce Service","United States","","Agentforce Service","Natalie Leung","AMER","United States","English","Customer; Prospect","MM; GB; EBU",""
"8/12 On-Demand Webinar: Contact Center","4/20/2026","Agentforce Service","United States","","Agentforce Service; Service Cloud Essentials","Natalie Leung","AMER","United States","English","Customer; Prospect","MM; GB; EBU",""
"ODW: Field Service Made Easy for Growing Businesses","4/20/2026","Agentforce Field Service","United States","","Agentforce Field Service","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB",""
"IDC Marketscape Field Service Management - Prospect","6/9/2026","Agentforce Service","United States","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Ray Liang","AMER","United States","English","Prospect","GRB; MM; GB; EBU",""
"IDC Marketscape Field Service Management - Customer","6/9/2026","Agentforce Service","United States","","Agentforce Field Service; Agentforce Service; Service Cloud Essentials","Natalie Leung","AMER","United States","English","Customer","GRB; MM; GB; EBU",""
"4/15 Service Cloud Webinar - FINS Offer","4/16/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Financial Services"
"4/15 Service Cloud Webinar - Manufacturing: Energy & Utilities Offer","4/16/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"4/15 Service Cloud Webinar - From Interaction to Resolution with an Agentic AI C","4/16/2026","Agentforce Service","United States","","Agentforce Service; Service Cloud Essentials","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/15 Service Cloud Webinar - Retail Offer (IT & Service Job Function Only)","4/16/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Retail & CG"
"4/15 Service Cloud Webinar - Canada Offer","4/16/2026","Agentforce Service","Canada","","Agentforce Service; Service Cloud Essentials","Natalie Leung","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/15 Service Cloud Webinar - Comms & Media Offer","4/16/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Communications & Media"
