"Dynamic Send: Asset Title","Archived Date","Product","Sub-Region","Original Industry","Product Interest","Producer","Region","Country","Language","Contact Type","Company Size","Industry"
"4/15 Service Cloud Webinar - ProServ Engineering, Accounting, Research Offer","4/16/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Professional Services"
"4/15 Service Cloud Webinar - ProServ Legal Services Offer","4/16/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Professional Services"
"4/15 Service Cloud Webinar - Manufacturing Offer","4/16/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"4/21 MC Webinar: 3 Ways to Accelerate your Pipeline with Agentforce Marketing","4/22/2026","Marketing Cloud","United States","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Melissa Dryer","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/29 Field Service Webinar - ECRE Offer","4/30/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Engineering, Construction, & Real Estate"
"4/29 Field Service Webinar - Comms Offer","4/30/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Communications & Media"
"4/29 Field Service Webinar - FINS Insurance Offer","4/30/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Financial Services"
"4/29 Field Service Webinar - How Agentforce Powers the Next Generation of Mobile","4/30/2026","Agentforce Field Service","United States","","Agentforce Field Service; Service Cloud Essentials","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/29 Field Service Webinar - MFG Offer","4/30/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Customer","SBE; SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"4/29 Field Service Webinar - Canada Offer","4/30/2026","Agentforce Field Service","Canada","","Agentforce Field Service; Service Cloud Essentials","Natalie Leung","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/15 SPIFF Webinar - Canada Offer","4/16/2026","SPIFF","Canada","","Agentforce Revenue Management; Sales Performance Management; SPIFF","Ray Liang","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/15 SPIFF Webinar - Commissions Reimagined: How Salesforce Unified Incentives f","4/13/2026","SPIFF","United States","","Agentforce Revenue Management; Sales Performance Management; SPIFF","Ray Liang","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/16 Commerce Webinar: Optimize Your Ecommerce Site for LLM Traffic: Breaking Do","4/17/2026","Agentforce Commerce","United States","","Agentforce Commerce","Melissa Dryer","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/16 Commerce Webinar: Optimize Your Ecommerce Site for LLM Traffic: Breaking Do","4/17/2026","Agentforce Commerce","Canada","","Agentforce Commerce","Melissa Dryer","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/23 Agentforce Revenue Management Webinar - Eliminate the ""Messy Middle"" of Bil","4/24/2026","Agentforce Revenue Management","United States","","Agentforce Revenue Management; Salesforce Billing; Salesforce CPQ","Ray Liang","AMER","United States","English","Customer; Prospect","GRB; MM; GB; EBU",""
"4/23 Agentforce Revenue Management Webinar - Canada Offer","4/24/2026","Agentforce Revenue Management","Canada","","Agentforce Revenue Management; Salesforce Billing; Salesforce CPQ","Ray Liang","AMER","Canada","English","Customer; Prospect","GRB; MM; GB; EBU",""
"4/21 MC Webinar: 3 Ways to Accelerate your Pipeline with Agentforce Marketing","4/22/2026","Marketing Cloud","Canada","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Melissa Dryer","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"FY27_Q2_GFM_Agentforce_effective-ai-agent-checklist_DSE","4/15/2026","Agentforce","United States","","Agentforce","Raluca Oltean-Revel","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"FY27_Q2_GFM_Agentforce_IDC_DSE","4/14/2026","Agentforce","United States","","Agentforce","Raluca Oltean-Revel","AMER","United States","English","Customer; Prospect","GRB; MM; GB; EBU",""
"FY27_Q2_GFM_Agentforce_IDC_DSE","4/14/2026","Agentforce","Canada","","Agentforce","Raluca Oltean-Revel","AMER","Canada","English","Customer; Prospect","GRB; MM; GB; EBU",""
"FY27_Q2_GFM_Agentforce_reliable-ai-agents-guide_DSE","4/15/2026","Agentforce","United States","","Agentforce","Raluca Oltean-Revel","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"FY27_Q2_GFM_Agentforce_futurum-signal-AI-report_DSE","4/14/2026","Agentforce","United States","","Agentforce","Raluca Oltean-Revel","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/21 Data 360 Webinar:","4/22/2026","Data 360","United States","","Data 360","Sian Desmond","AMER","United States","English","Customer; Prospect","GRB; MM; GB; EBU",""
"4/15 SPIFF Webinar - Updated PPIs","4/16/2026","SPIFF","United States","","Agentforce Revenue Management; Agentforce Sales; Salesforce CPQ; Salesforce Maps; Sales Performance Management; SPIFF","Ray Liang","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"4/21 Data 360 Webinar - Canada Offer","4/22/2026","Data 360","Canada","","Data 360","Sian Desmond","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"5/13 Marketing Webinar: A Marketer?s Guide to the Summer ?26 Release","5/14/2026","Marketing Cloud","United States","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Melissa Dryer","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"5/12 Agentforce Webinar - What's New & What's Next with Agentforce","5/13/2026","Agentforce","United States","","Agentforce","Sian Desmond","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"5/12 Agentforce Webinar - Canada Offer","5/13/2026","Agentforce","Canada","","Agentforce","Sian Desmond","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"5/19 Platform Webinar - Canada Offer","5/22/2026","Platform","Canada","","Platform; Trusted Services","Ryan See","AMER","Canada","English","Customer; Prospect","MM; GB; EBU",""
"5/19 Platform Webinar - Salesforce on Salesforce: Protecting Our Data as ""Custom","5/22/2026","Platform","United States","","Platform; Trusted Services","Ryan See","AMER","United States","English","Customer; Prospect","MM; GB; EBU",""
"5/21 Service Webinar - Generic CA Offer","5/22/2026","Agentforce Service","Canada","","Agentforce Service; Service Cloud Essentials","Natalie Leung","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"5/21 Service Webinar - Generic US Offer","5/22/2026","Agentforce Service","United States","","Agentforce Service; Service Cloud Essentials","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"5/21 Service Webinar - MAE Oil & Gas Offer","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"5/21 Service Webinar - MAE Utilities Offer","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"5/21 Service Webinar - Professional Services Offer","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Professional Services"
"5/21 Service Webinar - TTH Offer","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Travel, Transportation, & Hospitality"
"5/21 Service Webinar - FINS Banking Offer","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Financial Services"
"5/21 Service Webinar - FINS Insurance Offer","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Financial Services"
"5/21 Service Webinar - FINS Wealth & Asset Management Offer","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Financial Services"
"5/21 Service Webinar - HLS Health Plans Offer","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Healthcare & Life Sciences"
"5/21 Service Webinar - HLS Providers Offer","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Healthcare & Life Sciences"
"5/21 Service Webinar - Retail Offer","5/8/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Retail & CG"
"5/19 B2B Commerce Webinar: The Future of B2B Commerce: New Innovation Powering C","5/22/2026","Commerce B2B","United States","","Agentforce Revenue Management; Agentforce Sales","Melissa Dryer","AMER","United States","English","Customer; Prospect","MM; GB; EBU",""
"5/19 B2B Commerce Webinar: The Future of B2B Commerce: New Innovation Powering C","5/22/2026","Commerce B2B","United States","","Agentforce Commerce; Commerce B2B","Melissa Dryer","AMER","United States","English","Customer; Prospect","MM; GB; EBU",""
"5/13 Data 360 Webinar - Stop Waiting. Start Building ? Deploy Reliable AI Agents","5/14/2026","Data 360","United States","","Agentforce; Data 360","Sian Desmond","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"5/13 Data 360 Webinar - Canada Offer","5/14/2026","Data 360","Canada","","Agentforce; Data 360","Sian Desmond","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"5/21 Service Webinar - Comms & Media Offer","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Communications & Media"
"5/28 Agentforce Revenue Management Webinar - What?s New in Summer ?26","5/29/2026","Agentforce Revenue Management","United States","","Agentforce Revenue Management; Agentforce Sales; Salesforce Billing; Salesforce CPQ","Ray Liang","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"5/28 Agentforce Revenue Management Webinar - Canada Offer","5/29/2026","Agentforce Revenue Management","Canada","","Agentforce Revenue Management; Agentforce Sales; Salesforce Billing; Salesforce CPQ","Ray Liang","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"5/21 Service Webinar - FINS Insurance Offer_JobALL","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Financial Services"
"5/21 Service Webinar - HLS Health Plans_ JobALL","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Healthcare & Life Sciences"
"5/21 Service Webinar - Comms & Media_JobALL","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Communications & Media"
"5/21 Service Webinar - HLS Providers_JobALL","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Healthcare & Life Sciences"
"5/21 Service Webinar - TTH Offer_JobALL","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Travel, Transportation, & Hospitality"
"5/21 Service Webinar - Professional Services Offer_JobALL","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Professional Services"
"5/21 Service Webinar - FINS Banking Offer_JobALL","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Financial Services"
"5/21 Service Webinar - FINS Wealth & Asset Management_JobALL","5/22/2026","Agentforce Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Financial Services"
"5/13 Marketing Webinar: A Marketer?s Guide to the Summer ?26 Release","5/14/2026","Marketing Cloud","Canada","","Marketing Cloud; Marketing Cloud (Social); Marketing Cloud Account Engagement; Marketing Cloud Intelligence","Melissa Dryer","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"B2B Storefront Tour","5/4/2026","Commerce B2B","United States","","Commerce B2B","Melissa Dryer","AMER","United States","English","Customer; Prospect","MM; GB; EBU",""
"5/19 B2B Commerce Webinar: The Future of B2B Commerce: New Innovation Powering C","5/22/2026","Commerce B2B","Canada","","Agentforce Commerce; Commerce B2B","Melissa Dryer","AMER","Canada","English","Customer; Prospect","MM; GB; EBU",""
"5/19 B2B Commerce Webinar: The Future of B2B Commerce: New Innovation Powering C","5/22/2026","Commerce B2B","Canada","","Agentforce Revenue Management; Agentforce Sales","Melissa Dryer","AMER","Canada","English","Customer; Prospect","MM; GB; EBU",""
"6/4 Field Service Webinar - 3 Ways to Drive More Revenue from Your Field Service","6/5/2026","Agentforce Field Service","United States","","Agentforce Field Service","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"6/4 Field Service Webinar - MAE - Oil & Gas Offer","6/5/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"6/4 Field Service Webinar - Canada Offer","6/5/2026","Agentforce Field Service","Canada","","Agentforce Field Service","Natalie Leung","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"6/4 Field Service Webinar - MAE - Manufacturing","6/5/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"6/4 Field Service Webinar - MAE - Utilities Offer","6/5/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Manufacturing, Automotive & Energy"
"6/4 Field Service Webinar - High Tech Offer","6/5/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","High Tech"
"6/4 Field Service Webinar - Comms & Media","6/5/2026","Agentforce Field Service","United States","","","Natalie Leung","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU","Communications & Media"
"5/19 B2B Commerce Webinar: The Future of B2B Commerce: New Innovation - Expand","5/6/2026","Commerce B2B","United States","","Agentforce Commerce; Commerce B2B","Melissa Dryer","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"FY27_Q2_GFM_US_Agentforce_grown-ups-guide-to-agents_customer-voice_DSE","5/8/2026","Agentforce","United States","","Einstein Voice","Sian Desmond","AMER","United States","English","Prospect","GRB; MM; GB; EBU",""
"FY27_Q2_GFM_US_Agentforce_grown-ups-guide-to-agents_prospect-voice_DSE","5/8/2026","Agentforce","United States","","Einstein Voice","Sian Desmond","AMER","United States","English","Prospect","GRB; MM; GB; EBU",""
"FY27_Q2_GFM_US_Agentforce_grown-ups-guide-to-agents_prospect-einstein_DSE","5/7/2026","Agentforce","United States","","Einstein Voice","Sian Desmond","AMER","United States","English","Customer","GRB; MM; GB; EBU",""
"FY27 Agentforce Demo Day Pre Event","5/7/2026","Agentforce","United States","","Agentforce","Christopher Stratton","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"FY27_Q2_Successcloud_Agentforce_5-ways-to-build-confidence_webinar_DSE","5/22/2026","Agentforce","Canada","","Agentforce; Success Cloud","Raluca Oltean-Revel","AMER","Canada","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"FY27_Q2_US_Successcloud_Agentforce_5-ways-to-build-confidence_webinar_DSE","5/22/2026","Agentforce","United States","","Agentforce; Success Cloud","Raluca Oltean-Revel","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"6/9 Agentforce Webinar - Scale Agents, not Complexity, with Multi-Agent Orchestr","6/10/2026","Agentforce","United States","","Agentforce","Sian Desmond","AMER","United States","English","Customer; Prospect","SB; GRB; MM; GB; EBU",""
"6/9 Agentforce Webinar - Canada Offer","6/10/2026","Agentforce","Canada","","Agentforce","Sian Desmond","AMER","Canada","English","Customer; Prospect","SB; GRB; MM; GB; EBU",""
"Small Business Service Playbook","5/20/2026","Agentforce Service","United States","","Agentforce; Agentforce Commerce; Agentforce Consumer Goods; Agentforce Service; Service Cloud Essentials","Hassan Khider","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; GB",""
"EDO | Everybody's Demo Org - General Email [US]","5/20/2026","Agentforce Sales","United States","","Agentforce; Agentforce Sales; High Velocity Sales; Marketing Cloud","Karin Cayia","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
"EMEA_SMB_GB_service_playbook","5/21/2026","Agentforce Service","United States","","Agentforce; Agentforce Commerce; Agentforce Consumer Goods; Agentforce Service; Service Cloud Essentials","Hassan Khider","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; GB",""
"FY27_Q2_GFM_US_Agentforce_grid_webinar_recording_DSE","6/8/2026","Agentforce","United States","","Agentforce","Raluca Oltean-Revel","AMER","United States","English","Customer; Prospect","SBE; SB; GRB; MM; GB; EBU",""
